"名称","種別","所在地","新指定年月日"
"聚光院庭園","名勝","京都府京都市北区",58/06/12
"滴翠園","名勝","京都府京都市下京区",58/06/12
"長岡宮跡","史跡","京都府向日市",64/04/27
"浄瑠璃寺庭園","特別名勝・史跡","京都府加茂町",65/11/12
"高山寺境内","史跡","京都府京都市右京区",66/02/23
"随心院境内","史跡","京都府京都市山科区",66/06/21
"醍醐寺境内","史跡","京都府京都市伏見区",67/12/27
"船岡山","史跡","京都府京都市北区",68/02/15
"方広寺石塁および石塔","史跡","京都府京都市東山区",69/04/12
"妙心寺境内","史跡","京都府京都市右京区",69/10/29
"照福寺庭園","名勝","京都府綾部市",70/09/17
"樫原廃寺跡","史跡","京都府京都市西京区",71/03/01
"法金剛院青女滝附五位山","特別名勝","京都府京都市右京区",71/05/27
"大住車塚古墳","史跡","京都府京田辺市",74/06/11
"正道官衙遺跡","史跡","京都府城陽市",74/09/12
"旧円徳院庭園","名勝","京都府京都市東山区",75/01/21
"平川廃寺跡","史跡","京都府城陽市",75/11/25
"平安神宮神苑","名勝","京都府京都市左京区",75/12/10
"蛇塚古墳","史跡","京都府京都市右京区",77/05/04
"霊洞院庭園","名勝","京都府京都市東山区",77/06/01
"森山遺跡","史跡","京都府城陽市",78/02/08
"天塚古墳","史跡","京都府京都市右京区",78/03/03
"鳥羽殿跡","史跡","京都府京都市伏見区",78/07/17
"久津川車塚・丸塚古墳","史跡","京都府城陽市",79/01/19
"清滝川のゲンジボタル及びその生息地","天然記念物","京都府京都市右京区",79/02/14
"平安宮内裏内郭回廊跡","史跡","京都府京都市上京区",79/12/22
"恵解山古墳","史跡","京都府長岡京市",81/10/13
"千歳車塚古墳","史跡","京都府亀岡市",82/12/18
"賀茂御祖神社境内","史跡","京都府京都市左京区",83/03/29
"隼上り瓦窯跡","史跡","京都府宇治市",86/06/09
"本法寺庭園","名勝","京都府京都市上京区",86/06/16
"對龍山荘庭園","名勝","京都府京都市左京区",88/12/24
"芝ヶ原古墳","史跡","京都府城陽市",89/09/06
"平安宮豊楽殿跡","史跡","京都府京都市中京区",90/02/22
"聖塚・菖蒲塚古墳","史跡","京都府綾部市",92/05/06
"賀茂別雷神社境内","史跡","京都府京都市北区",93/09/22
"本願寺境内","史跡","京都府京都市下京区",94/03/23
"私市円山古墳","史跡","京都府綾部市",94/03/23
"椿井大塚山古墳","史跡","京都府山城町",00/09/06
"桜井駅跡(楠正成伝説地)","史跡","大阪府島本町",21/03/03
"高井田横穴","史跡","大阪府柏原市",22/03/08
"松岳山古墳","史跡","大阪府柏原市",22/03/08
"西陵古墳第一・第二古墳","史跡","大阪府岬町",22/03/08
"牧野車塚古墳","史跡","大阪府枚方市",22/03/08
"契沖旧庵(円珠庵)ならびに墓","史跡","大阪府大阪市天王寺区",22/03/08
"和泉葛＊城山ブナ林","天然記念物","大阪府貝塚市・岸和田市",23/03/07
"妙国寺のソテツ","天然記念物","大阪府堺市",24/12/09
"金剛寺境内","史跡","大阪府河内長野市",34/03/13
"観心寺境内","史跡","大阪府河内長野市",34/03/13
"千早城跡","史跡","大阪府千早赤阪村",34/03/13
"楠木城跡(上赤阪城跡)","史跡","大阪府千早赤阪村",34/03/13
"赤阪城跡","史跡","大阪府千早赤阪村",34/03/13
"薫蓋クス","天然記念物","大阪府門真市",38/05/30
"土佐十一烈士墓","史跡","大阪府堺市",38/08/08
"住吉行宮跡","史跡","大阪府大阪市住吉区",39/03/07
"百済寺跡","特別史跡","大阪府枚方市",41/01/27
"緒方洪庵旧宅および塾","史跡","大阪府大阪市",41/12/13
"野中寺旧伽藍跡","史跡","大阪府羽曳野市",44/11/07
"鹿谷寺跡","史跡","大阪府太子町",48/01/14
"岩屋","史跡","大阪府太子町",48/01/14
"野間の大ケヤキ","天然記念物","大阪府能勢町",48/01/14
"郡山宿本陣","史跡","大阪府茨木市",48/12/18
"四天王寺旧境内","史跡","大阪府大阪市天王寺区",51/06/09
"大坂城跡","特別史跡","大阪府大阪市",53/03/31
"土塔","史跡","大阪府堺市",53/03/31
"丸山古墳","史跡","大阪府貝塚市",56/05/15
"桜塚古墳群","史跡","大阪府豊中市",56/05/15
"摩湯山古墳","史跡","大阪府岸和田市",56/05/15
"いたすけ古墳","史跡","大阪府堺市",56/05/15
"古室山古墳群　古室山古墳　赤面山古墳　大鳥塚古墳　助太山古墳　鍋塚古墳","史跡","大阪府藤井寺市",56/09/22
"二子塚古墳","史跡","大阪府太子町",56/11/28
"箕面山","名勝","大阪府箕面市",56/12/28
"箕面山のサル生息地","天然記念物","大阪府箕面市",56/12/28
"通法寺跡","史跡","大阪府羽曳野市",57/07/01
"黒姫山古墳","史跡","大阪府美原町",57/10/24
"城山古墳","史跡","大阪府藤井寺市",58/01/21
"今城塚古墳附新池埴輪製作遺跡","史跡","大阪府高槻市",58/02/18
"長塚古墳","史跡","大阪府堺市",58/05/14
"収塚古墳","史跡","大阪府堺市",58/05/14
"塚廻古墳","史跡","大阪府堺市",58/05/14
"帝塚山古墳","史跡","大阪府大阪市住吉区",63/10/19
"難波宮跡","史跡","大阪府大阪市",64/05/02
"勝尾寺旧境内ぼう示八天石蔵及び町石","史跡","大阪府箕面市",66/01/28
"心合寺山古墳","史跡","大阪府八尾市",66/02/25
"文珠塚古墳","史跡","大阪府堺市",71/04/23
"嶋上郡衙跡附寺跡","史跡","大阪府高槻市",71/05/27
"吉志部瓦窯跡","史跡","大阪府吹田市",71/06/23
"禁野車塚古墳","史跡","大阪府枚方市",72/03/22
"旧堺燈台","史跡","大阪府堺市",72/07/12
"丸保山古墳","史跡","大阪府堺市",72/07/25
"日下貝塚","史跡","大阪府東大阪市",72/07/26
"石宝殿古墳","史跡","大阪府寝屋川市",73/05/10
"誉田白鳥埴輪製作遺跡","史跡","大阪府羽曳野市",73/06/02
"乳岡古墳","史跡","大阪府堺市",74/01/23
"峯ヶ塚古墳","史跡","大阪府羽曳野市",74/04/12
"国府遺跡","史跡","大阪府藤井寺市",74/06/25
"墓山古墳","史跡","大阪府羽曳野市・藤井寺市",75/02/22
"田辺廃寺跡","史跡","大阪府柏原市",75/07/19
"池上曽根遺跡","史跡","大阪府和泉市・泉大津市",76/04/26
"鴻池新田会所跡","史跡","大阪府東大阪市",76/12/25
"応神天皇陵古墳外濠外堤","史跡","大阪府羽曳野市",78/10/30
"鉢塚古墳","史跡","大阪府藤井寺市",79/12/22
"七尾瓦窯跡","史跡","大阪府吹田市",80/03/24
"高宮廃寺跡","史跡","大阪府寝屋川市",80/05/13
"観音塚古墳","史跡","大阪府羽曳野市",81/04/22
"竜泉寺庭園","名勝","大阪府富田林市",81/05/11
"普門寺庭園","名勝","大阪府高槻市",81/08/28
"南宗寺庭園","名勝","大阪府堺市",83/03/29
"阿武山古墳","史跡","大阪府高槻市・茨木市",83/08/30
"海会寺跡","史跡","大阪府泉南市",87/12/25
"四ッ池遺跡","史跡","大阪府堺市",89/09/22
"金山古墳","史跡","大阪府河南町",91/02/15
"安満遺跡","史跡","大阪府高槻市",93/11/19
"一須賀古墳群","史跡","大阪府河南町・太子町",94/10/07
"はざみ山古墳","史跡","大阪府藤井寺市",96/03/29
"日根荘遺跡","史跡","大阪府泉佐野市",98/12/08
"和田岬砲台","史跡","兵庫県神戸市兵庫区",21/03/03
"播磨国分寺跡","史跡","兵庫県姫路市",21/03/03
"五色塚(千壺)古墳・小壺古墳","史跡","兵庫県神戸市垂水区",21/03/03
"壇場山古墳第一・二・三古墳","史跡","兵庫県姫路市",21/03/03
"処女塚古墳","史跡","兵庫県神戸市東灘区",22/03/08
"西宮砲台","史跡","兵庫県西宮市",22/03/08
"大石良雄宅跡","史跡","兵庫県赤穂市",23/03/07
"生島樹林","天然記念物","兵庫県赤穂市",24/12/09
"日置のハダカガヤ","天然記念物","兵庫県篠山市",25/10/08
"淡路国道マツ並木","天然記念物","兵庫県三原町",26/02/24
"八代の大ケヤキ","天然記念物","兵庫県朝来町",28/03/24
"姫路城跡","特別史跡","兵庫県姫路市",28/09/20
"慶野松原","名勝","兵庫県西淡町",28/10/13
"玄武洞","天然記念物","兵庫県豊岡市",31/02/20
"觜崎ノ屏風岩","天然記念物","兵庫県新宮町・龍野市",31/10/21
"但島御火浦","名勝・天然記念物","兵庫県浜坂町・香住町",34/01/22
"円教寺境内","史跡","兵庫県姫路市",34/03/13
"神戸丸山衝上断層","天然記念物","兵庫県神戸市長田区",37/12/21
"香住海岸","名勝","兵庫県香住町",38/05/30
"鎧袖","天然記念物","兵庫県香住町",38/05/30
"竹田城跡","史跡","兵庫県和田山町",43/09/08
"玉丘古墳群","史跡","兵庫県加西市",43/09/08
"楠木正成墓碑","史跡","兵庫県神戸市中央区",51/06/09
"多田院","史跡","兵庫県川西市",51/06/09
"淡路国分寺塔跡","史跡","兵庫県三原町",51/06/09
"畑上の大トチノキ","天然記念物","兵庫県豊岡市",51/06/09
"建屋のヒダリマキガヤ","天然記念物","兵庫県養父町",51/06/09
"糸井の大カツラ","天然記念物","兵庫県和田山町",51/06/09
"口大屋の大アベマキ","天然記念物","兵庫県大屋町",51/06/09
"樽見の大ザクラ","天然記念物","兵庫県大屋町",51/06/09
"篠山城跡","史跡","兵庫県篠山市",56/12/28
"竜野のカタシボ竹林","天然記念物","兵庫県龍野市",58/05/15
"伊丹廃寺跡","史跡","兵庫県伊丹市",66/03/22
"大中遺跡","史跡","兵庫県播磨町",67/06/22
"田能遺跡","史跡","兵庫県尼崎市・伊丹市",69/06/30
"柏原藩陣屋跡","史跡","兵庫県柏原町",71/01/06
"赤穂城跡","史跡","兵庫県赤穂市",71/03/31
"西条古墳群","史跡","兵庫県加古川市",73/06/18
"三ツ塚廃寺跡","史跡","兵庫県市島町",76/12/25
"瓢塚古墳","史跡","兵庫県姫路市",78/03/24
"吉島古墳","史跡","兵庫県新宮町",78/05/22
"有岡城跡","史跡","兵庫県伊丹市",79/12/28
"安養院庭園","名勝","兵庫県神戸市垂水区",80/02/19
"広渡廃寺跡","史跡","兵庫県小野市",80/12/05
"新宮宮内遺跡","史跡","兵庫県新宮町",82/06/03
"田淵氏庭園","名勝","兵庫県赤穂市",87/05/25
"黒井城跡","史跡","兵庫県春日町",89/08/11
"旧大岡寺庭園","名勝","兵庫県日高町",89/09/22
"但馬国分寺跡","史跡","兵庫県日高町",90/12/26
"箕谷古墳群","史跡","兵庫県八鹿町",92/12/18
"追手神社のモミ","天然記念物","兵庫県丹南町",94/03/23
"赤松氏城跡　白旗城跡 感状山城跡　置塩城跡","史跡","兵庫県相生市・上郡町",96/03/28
"山名氏城跡　此隅山城跡　有子山城跡","史跡","兵庫県出石町",96/11/13
"八木城跡","史跡","兵庫県八鹿町",97/03/06
"野島断層","天然記念物","兵庫県北淡町",98/07/31
"洲本城跡","史跡","兵庫県洲本市",99/01/14
"中山荘園古墳","史跡","兵庫県宝塚市",99/01/28
"加茂遺跡","史跡","兵庫県川西市",00/07/31
"大安寺旧境内","史跡","奈良県奈良市",21/03/03
"山田寺跡","特別史跡","奈良県桜井市",21/03/03
"川原寺跡","史跡","奈良県明日香村",21/03/03
"大官大寺跡","史跡","奈良県明日香村",21/03/03
"本薬師寺跡","特別史跡","奈良県橿原市",21/03/03
"宇智川磨崖碑","史跡","奈良県五條市",21/03/03
"行基墓","史跡","奈良県生駒市",21/03/03
"宮山古墳","史跡","奈良県御所市",21/03/03
"北山十八間戸","史跡","奈良県奈良市",21/03/03
"頭塔","史跡","奈良県奈良市",22/03/08
"奈良公園","名勝","奈良県奈良市",22/03/08
"月瀬梅林","名勝","奈良県月ヶ瀬村",22/03/08
"平城宮跡","特別史跡","奈良県奈良市",22/10/12
"仏経岳原始林","天然記念物","奈良県上北山村・天川村",22/10/12
"文殊院西古墳","特別史跡","奈良県桜井市",23/03/07
"牽牛子塚古墳","史跡","奈良県明日香村",23/03/07
"知足院ナラヤエザクラ","天然記念物","奈良県奈良市",23/03/07
"春日神社境内ナギ樹林","天然記念物","奈良県奈良市",23/03/07
"春日山石窟仏","史跡","奈良県奈良市",24/12/09
"地獄谷石窟仏","史跡","奈良県奈良市",24/12/09
"吉野山","史跡・名勝","奈良県吉野町",24/12/09
"春日山原始林","特別天然記念物","奈良県奈良市",24/12/09
"森野旧薬園","史跡","奈良県大宇陀町",26/02/24
"毛原廃寺跡","史跡","奈良県山添村",26/10/20
"粟原寺跡","史跡","奈良県桜井市",27/04/08
"巨勢寺塔跡","史跡","奈良県御所市",27/04/08
"高宮廃寺跡","史跡","奈良県御所市",27/04/08
"比曽寺跡","史跡","奈良県大淀町",27/04/08
"西山古墳","史跡","奈良県天理市",27/04/08
"巣山古墳","特別史跡","奈良県広陵町",27/04/08
"花山塚古墳","史跡","奈良県桜井市",27/04/08
"中尾山古墳","史跡","奈良県明日香村",27/04/08
"菖蒲池古墳","史跡","奈良県橿原市",27/04/08
"酒船石","史跡","奈良県明日香村",27/04/08
"オオヤマレンゲ自生地","天然記念物","奈良県天川村・大塔村",28/02/07
"妹山樹叢","天然記念物","奈良県吉野町",28/03/24
"室生山暖地性シダ群落","天然記念物","奈良県室生村",28/11/30
"額田部窯跡","史跡","奈良県大和郡山市",29/04/02
"三ノ公川トガサワラ原始林","天然記念物","奈良県川上村",29/12/17
"向淵スズラン群落","天然記念物","奈良県室生村",30/11/19
"吐山スズラン群落","天然記念物","奈良県都祁村",30/11/19
"松山西口関門","史跡","奈良県大宇陀町",31/11/26
"ルーミスシジミ生息地","天然記念物","奈良県奈良市",32/03/25
"シシンラン群落","天然記念物","奈良県上北山村",32/04/19
"三井瓦窯跡","史跡","奈良県斑鳩町",32/04/25
"元興寺塔跡","史跡","奈良県奈良市",32/04/25
"八ツ房スギ","天然記念物","奈良県菟田野町",32/04/25
"東大寺旧境内","史跡","奈良県奈良市",32/07/23
"東大寺東南院旧境内","史跡","奈良県奈良市",34/03/13
"金剛山","史跡","奈良県御所市",34/03/13
"当麻寺中之坊庭園","名勝・史跡","奈良県當麻町",34/05/01
"大野寺石仏","史跡","奈良県室生村",34/11/10
"慈光院庭園","名勝・史跡","奈良県大和郡山市",34/12/28
"屏風岩、兜岩および鎧岩","天然記念物","奈良県曽爾村",34/12/28
"石舞台古墳","特別史跡","奈良県明日香村",35/12/24
"鶯塚古墳","史跡","奈良県奈良市",36/09/03
"栄山寺行宮跡","史跡","奈良県五條市",38/12/14
"藤原武智磨墓","史跡","奈良県五條市",40/07/12
"三井","史跡","奈良県斑鳩町",44/06/26
"藤原宮跡","特別史跡","奈良県橿原市",46/11/21
"カザグルマ自生地","天然記念物","奈良県大宇陀町",48/01/14
"法隆寺旧境内","史跡","奈良県斑鳩町",51/06/09
"高取城跡","史跡","奈良県高取町",53/03/31
"天王山古墳","史跡","奈良県桜井市",54/12/25
"乙女山古墳","史跡","奈良県河合町",56/11/07
"大塚山古墳群　大塚山古墳　城山古墳　高山塚一号古墳　高山塚二号古墳　高山塚三号古墳　高山塚四号古墳　九僧塚古墳　丸山古墳","史跡","奈良県河合町",56/12/28
"二見の大ムク","天然記念物","奈良県五條市",57/05/08
"丹生川上中社のツルマンリョウ自生地","天然記念物","奈良県東吉野村",57/05/08
"櫛山古墳","史跡","奈良県天理市",57/06/19
"牧野古墳","史跡","奈良県広陵町",57/06/19
"宮滝遺跡","史跡","奈良県吉野町",57/07/01
"与喜山暖帯林","天然記念物","奈良県桜井市",57/12/18
"旧大乗院庭園","名勝","奈良県奈良市",58/05/15
"水泥古墳","史跡","奈良県御所市",61/07/06
"元興寺極楽坊境内","史跡","奈良県奈良市",65/02/22
"元興寺小塔院跡","史跡","奈良県奈良市",65/06/02
"西大寺境内","史跡","奈良県奈良市",65/06/04
"定林寺跡","史跡","奈良県明日香村",66/02/25
"飛鳥寺跡","史跡","奈良県明日香村",66/04/21
"橘寺境内","史跡","奈良県明日香村",66/04/21
"興福寺旧境内","史跡","奈良県奈良市",67/05/10
"唐招堤寺旧境内","史跡","奈良県奈良市",67/12/05
"岩屋山古墳","史跡","奈良県明日香村",68/05/11
"丸山古墳","史跡","奈良県橿原市",69/05/23
"小治田安萬侶墓","史跡","奈良県都祁村",69/11/29
"安倍寺跡","史跡","奈良県桜井市",70/03/11
"瓢箪＊山古墳","史跡","奈良県奈良市",71/05/27
"烏土塚古墳","史跡","奈良県平群町",71/07/30
"屋敷山古墳","史跡","奈良県新庄町",72/03/25
"伝飛鳥板蓋宮跡","史跡","奈良県明日香村",72/04/10
"高松塚古墳","特別史跡","奈良県明日香村",72/06/17
"桜井茶臼山古墳","史跡","奈良県桜井市",73/03/27
"平野塚穴山古墳","史跡","奈良県香芝市",73/06/18
"円成寺庭園","名勝","奈良県奈良市",73/10/09
"■墓古墳","史跡","奈良県桜井市",74/06/18
"塩塚古墳","史跡","奈良県奈良市",75/06/27
"依水園","名勝","奈良県奈良市",75/12/10
"飛鳥水落遺跡","史跡","奈良県明日香村",76/02/20
"新沢千塚古墳群","史跡","奈良県橿原市",76/03/31
"ナガレ山古墳","史跡","奈良県河合町",76/12/27
"珠城山古墳","史跡","奈良県桜井市",78/02/08
"藤原京朱雀大路跡","史跡","奈良県橿原市",78/10/04
"平城京左京三条二坊宮跡庭園","特別史跡・特別名勝","奈良県奈良市",78/10/27
"二塚古墳","史跡","奈良県新庄町",78/12/27
"飛鳥稲淵宮殿跡","史跡","奈良県明日香村",79/03/20
"太安萬侶墓","史跡","奈良県奈良市",80/02/19
"メスリ山古墳","史跡","奈良県桜井市",80/03/14
"市尾墓山古墳・宮塚古墳","史跡","奈良県高取町",81/03/31
"マルコ山古墳","史跡","奈良県明日香村",82/01/16
"茅原大墓古墳","史跡","奈良県桜井市",82/12/18
"正長元年柳生徳政碑","史跡","奈良県奈良市",83/05/19
"見田・大沢古墳群","史跡","奈良県菟田野町",83/08/17
"文祢麻呂墓","史跡","奈良県榛原町",84/04/05
"平城京朱雀大路跡","史跡","奈良県奈良市",84/05/07
"大神神社境内","史跡","奈良県桜井市",85/03/18
"春日大社境内","史跡","奈良県奈良市",85/03/18
"佐味田宝塚古墳","史跡","奈良県河合町",87/05/12
"中宮寺跡","史跡","奈良県斑鳩町",90/05/19
"藤ノ木古墳","史跡","奈良県斑鳩町",91/11/16
"赤土山古墳","史跡","奈良県天理市",92/12/15
"法起寺境内","史跡","奈良県斑鳩町",93/11/30
"薬師寺旧境内","史跡","奈良県奈良市",97/04/03
"唐古・鍵遺跡","史跡","奈良県田原本町",99/01/27
"キトラ古墳","史跡","奈良県明日香村",00/07/31
"法華寺旧境内、法華寺境内、阿弥陀浄土院跡","史跡","奈良県奈良市",01/01/29
"黒塚古墳","史跡","奈良県天理市",01/01/29
"法華寺庭園","名勝","奈良県奈良市",01/01/29
"飛鳥池工房遺跡","史跡","奈良県明日香村",01/08/13
"オオウナギ生息地","天然記念物","和歌山県白浜町",23/03/07
"橋杭岩","名勝・天然記念物","和歌山県古座町・串本町",24/12/09
"新宮藺沢浮島植物群落","天然記念物","和歌山県新宮市",27/04/08
"ユノミネシダ自生地","天然記念物","和歌山県本宮町",28/01/18
"紀伊国分寺跡","史跡","和歌山県打田町",28/02/07
"西国分塔跡","史跡","和歌山県岩出町",28/02/07
"那智原始林","天然記念物","和歌山県那智勝浦町",28/03/03
"白浜の化石漣痕","天然記念物","和歌山県白浜町",31/02/20
"白浜の泥岩岩脈","天然記念物","和歌山県白浜町",31/02/20
"和歌山城","史跡","和歌山県和歌山市",31/03/30
"明恵紀州遺跡率都婆","史跡","和歌山県有田市・湯浅町・吉備町・金屋町",31/06/03
"鳴神貝塚","史跡","和歌山県和歌山市",31/07/31
"岩橋千塚古墳群","特別史跡","和歌山県和歌山市",31/07/31
"三栖廃寺塔跡","史跡","和歌山県田辺市",35/12/24
"神島","天然記念物","和歌山県田辺市",35/12/24
"門前の大岩","天然記念物","和歌山県由良町",35/12/24
"高池の虫喰岩","天然記念物","和歌山県古座川町",35/12/24
"鳥巣半島の泥岩岩脈","天然記念物","和歌山県田辺市",36/09/03
"栗栖川亀甲石包含層","天然記念物","和歌山県中辺路町",37/06/15
"広村堤防","史跡","和歌山県広川町",38/12/14
"浜口梧陵墓","史跡","和歌山県広川町",38/12/14
"熊野速玉神社のナギ","天然記念物","和歌山県新宮市",40/02/10
"四箇郷一里塚","史跡","和歌山県和歌山市",40/07/12
"古座川の一枚岩","天然記念物","和歌山県古座川町",41/12/13
"上野廃寺跡","史跡","和歌山県和歌山市",51/06/09
"江須崎暖地性植物群落","天然記念物","和歌山県すさみ町",53/11/14
"根来寺庭園","名勝","和歌山県岩出町",58/05/15
"旧名手宿本陣","史跡","和歌山県那賀町",70/04/02
"粉河寺庭園","名勝","和歌山県粉河町",70/04/23
"天徳院庭園","名勝","和歌山県高野町",70/06/26
"高山寺貝塚","史跡","和歌山県田辺市",70/08/17
"稲積島暖地性植物群落","天然記念物","和歌山県すさみ町",71/03/01
"那智大滝","名勝","和歌山県那智勝浦町",72/07/11
"下里古墳","史跡","和歌山県那智勝浦町",76/02/24
"高野山町石","史跡","和歌山県高野町・かつらぎ町・九度山町",77/07/14
"金剛峯寺境内","史跡","和歌山県高野町",77/07/14
"大谷古墳","史跡","和歌山県和歌山市",78/11/15
"磯間岩陰遺跡","史跡","和歌山県田辺市",79/12/18
"和歌山藩主徳川家墓所","史跡","和歌山県下津町",81/05/28
"和歌山城西之丸庭園(紅葉渓庭園)","名勝","和歌山県和歌山市",85/11/17
"養翠園","名勝","和歌山県和歌山市",89/12/08
"熊野参詣道","史跡","和歌山県中辺路町・那智勝浦町・熊野川町・本宮町",00/11/02
"伊福吉部徳足比売墓跡","史跡","鳥取県国府町",24/12/09
"大山のダイセンキャラボク純林","特別天然記念物","鳥取県大山町",27/06/14
"浦富海岸","名勝・天然記念物","鳥取県岩美町",28/03/27
"三明寺古墳","史跡","鳥取県倉吉市",31/11/26
"岩井廃寺塔跡","史跡","鳥取県岩美町",31/11/26
"土師百井廃寺跡","史跡","鳥取県郡家町",31/11/26
"船上山行宮跡","史跡","鳥取県赤碕町",32/05/03
"向山古墳群","史跡","鳥取県淀江町",32/07/23
"キマダラルリツバメチョウ生息地","天然記念物","鳥取県鳥取市",34/05/01
"波波伎神社社叢","天然記念物","鳥取県倉吉市",34/05/01
"倉田八幡宮社叢","天然記念物","鳥取県鳥取市",34/05/01
"三徳山","名勝・史跡","鳥取県三朝町",34/07/07
"大野見宿禰命神社社叢","天然記念物","鳥取県鳥取市",34/08/09
"伯耆一宮経塚","史跡","鳥取県東郷町",35/12/24
"大原廃寺塔跡","史跡","鳥取県倉吉市",35/12/24
"斎尾廃寺跡","特別史跡","鳥取県東伯町",35/12/24
"栃本廃寺塔跡","史跡","鳥取県国府町",35/12/24
"伯耆の大シイ","天然記念物","鳥取県東伯町",37/04/17
"小鹿渓","名勝","鳥取県三朝町",37/12/08
"白兎神社樹叢","天然記念物","鳥取県鳥取市",37/12/08
"観音院庭園","名勝","鳥取県鳥取市",37/12/21
"尾崎氏庭園","名勝","鳥取県羽合町",37/12/21
"松上神社のサカキ樹林","天然記念物","鳥取県鳥取市",44/03/07
"唐川のカキツバタ群落","天然記念物","鳥取県岩美町",44/03/07
"鳥取砂丘","天然記念物","鳥取県鳥取市・福部村",55/02/03
"橋津古墳群","史跡","鳥取県羽合町",57/06/03
"船通山のイチイ","天然記念物","鳥取県日南町",57/07/27
"鳥取城跡附大閤ヶ平","史跡","鳥取県鳥取市",57/12/18
"福市遺跡","史跡","鳥取県米子市",70/10/17
"伯耆国分寺跡","史跡","鳥取県倉吉市",74/03/12
"布勢古墳","史跡","鳥取県鳥取市",74/12/23
"青木遺跡","史跡","鳥取県米子市",78/03/22
"因幡国庁跡","史跡","鳥取県国府町",78/07/21
"梶山古墳","史跡","鳥取県国府町",79/04/21
"北山古墳","史跡","鳥取県東郷町",80/06/03
"阿弥大寺古墳群","史跡","鳥取県倉吉市",81/05/11
"鳥取藩主池田家墓所","史跡","鳥取県国府町",81/10/13
"伯耆国庁跡附法華寺畑遺跡","史跡","鳥取県倉吉市",85/05/14
"鳥取藩台場跡　由良台場跡　境台場跡　淀江台場跡　橋津台場跡　浦富台場跡","史跡","鳥取県境港市・大栄町・羽合町・淀江町",88/07/29
"上淀廃寺跡","史跡","鳥取県淀江町",96/03/29
"妻木晩田遺跡","史跡","鳥取県大山町",99/12/22
"深田氏庭園","名勝","鳥取県米子市",00/12/20
"大御堂廃寺跡","史跡","鳥取県倉吉市",01/01/29
"出雲国分寺跡附古道","史跡","島根県松江市",21/03/03
"石見国分寺跡","史跡","島根県浜田市",21/03/03
"経島ウミネコ繁殖地","天然記念物","島根県大社町",22/03/08
"クロキヅタ産地","天然記念物","島根県西ノ島町・海士町",22/03/08
"出雲玉作跡","史跡","島根県玉湯町",22/10/12
"山代二子塚","史跡","島根県松江市",24/12/09
"大庭鶏塚","史跡","島根県松江市",24/12/09
"上塩冶築山古墳","史跡","島根県出雲市",24/12/09
"上塩冶地蔵山古墳","史跡","島根県出雲市",24/12/09
"今市大念寺古墳","史跡","島根県出雲市",24/12/09
"立久恵","名勝・天然記念物","島根県出雲市",27/04/08
"鬼舌振","名勝・天然記念物","島根県仁多町",27/04/08
"潜戸","名勝・天然記念物","島根県島根町",27/06/14
"菅田庵","史跡・名勝","島根県松江市",28/02/07
"高尾暖地性濶葉樹林","天然記念物","島根県西郷町",28/02/07
"万福寺庭園","史跡・名勝","島根県益田市",28/03/28
"医光寺庭園","史跡・名勝","島根県益田市",28/03/28
"玉若酢命神社の八百スギ","天然記念物","島根県西郷町",29/12/17
"大根島の熔岩隧道","特別天然記念物","島根県八束町",31/07/31
"宝塚古墳","史跡","島根県出雲市",31/11/26
"石見畳ヶ浦","天然記念物","島根県浜田市",32/03/25
"千丈渓","名勝","島根県桜江町・石見町",32/07/23
"築島の岩脈","天然記念物","島根県島根町",32/07/23
"多古の七ツ穴","天然記念物","島根県島根町",32/07/23
"岩屋寺の切開","天然記念物","島根県横田町",32/07/23
"徳連場古墳","史跡","島根県玉湯町",33/02/28
"丹花庵古墳","史跡","島根県松江市",33/02/28
"美保の北浦","名勝","島根県美保関町",33/02/28
"佐太・講武貝塚","史跡","島根県鹿島町",33/04/13
"富田城跡","史跡","島根県広瀬町",34/01/22
"隠岐国分寺境内","史跡","島根県西郷町",34/03/13
"安部谷古墳","史跡","島根県松江市",34/05/01
"松江城","史跡","島根県松江市",34/05/01
"日御碕の大ソテツ","天然記念物","島根県大社町",34/05/01
"三隅大平ザクラ","天然記念物","島根県三隅町",35/04/11
"大根島第二熔岩隧道","天然記念物","島根県八束町",35/06/07
"断魚渓","名勝","島根県石見町",35/12/24
"隠岐知夫赤壁","名勝・天然記念物","島根県知夫村",35/12/24
"波根西の珪化木","天然記念物","島根県大田市",36/09/03
"周布古墳","史跡","島根県浜田市",36/12/16
"荒島古墳群","史跡","島根県安来市",36/12/16
"安来一里塚","史跡","島根県安来市",36/12/16
"唐音の蛇岩","天然記念物","島根県益田市",36/12/16
"海潮のカツラ","天然記念物","島根県大東町",37/04/17
"下府廃寺塔跡","史跡","島根県浜田市",37/06/15
"伊志見一里塚","史跡","島根県宍道町",37/06/15
"出西・伊波野一里塚","史跡","島根県斐川町",37/06/15
"隠岐布施海岸","名勝","島根県布施村",38/05/30
"隠岐国賀海岸","名勝・天然記念物","島根県西ノ島町",38/05/30
"隠岐白島海岸","名勝・天然記念物","島根県西郷町",38/05/30
"隠岐海苔田ノ鼻","天然記念物・名勝","島根県西郷町",38/05/30
"星神島オオミズナギドリ繁殖地","天然記念物","島根県西ノ島町",38/05/30
"沖島オオミズナギドリ繁殖地","天然記念物","島根県西郷町",40/02/10
"小泉八雲旧居","史跡","島根県松江市",40/08/30
"山代方墳","史跡","島根県松江市",41/08/01
