"名称","種別","所在地","新指定年月日"
"羽黒山のスギ並木","特別天然記念物","山形県羽黒町",51/06/09
"南谷のカスミザクラ","天然記念物","山形県羽黒町",51/06/09
"山五十川の玉スギ","天然記念物","山形県温海町",51/06/09
"羽黒山の爺スギ","天然記念物","山形県羽黒町",51/06/09
"早田のオハツキイチョウ","天然記念物","山形県温海町",51/06/09
"嶋遺跡","史跡","山形県山形市",66/12/19
"月山","天然記念物","山形県羽黒町・立川町",72/12/09
"酒井氏庭園","名勝","山形県鶴岡市",76/12/27
"日向洞窟","史跡","山形県高畠町",77/02/17
"三瀬気比神社社叢","天然記念物","山形県鶴岡市",77/04/02
"堂の前遺跡","史跡","山形県八幡町",79/10/23
"稲荷森古墳","史跡","山形県南陽市",80/05/24
"大立洞窟","史跡","山形県高畠町",80/06/03
"一の沢洞窟","史跡","山形県高畠町",80/09/11
"火箱岩洞窟","史跡","山形県高畠町",83/04/26
"米沢藩主上杉家墓所","史跡","山形県米沢市",84/01/11
"旧鐙屋","史跡","山形県酒田市",84/05/25
"延沢銀山遺跡","史跡","山形県尾花沢市",85/12/21
"山形城跡","史跡","山形県山形市",86/05/28
"西沼田遺跡","史跡","山形県天童市",87/01/26
"新庄藩主戸沢家墓所","史跡","山形県新庄市",87/05/12
"玉川寺庭園","名勝","山形県羽黒町",87/08/01
"松ヶ岡開墾場跡","史跡","山形県羽黒町",89/08/11
"總光寺庭園","名勝","山形県松山町",96/03/29
"一ノ坂遺跡","史跡","山形県米沢市",97/07/28
"羽州街道　楢下宿　金山越","史跡","山形県上山市",97/09/11
"古志田東遺跡","史跡","山形県米沢市",00/09/06
"三春滝ザクラ","天然記念物","福島県三春町",22/10/12
"甲塚古墳","史跡","福島県いわき市",23/03/07
"吾妻山ヤエハクサンシャクナゲ自生地","天然記念物","福島県福島市",23/03/07
"南湖公園","史跡・名勝","福島県白河市",24/12/09
"赤井谷地沼野植物群落","天然記念物","福島県会津若松市",28/03/24
"新地貝塚附手長明神社跡","史跡","福島県新地町",30/02/28
"薬師堂石仏附阿彌陀堂石仏","史跡","福島県小高町",30/07/08
"観音堂石仏","史跡","福島県小高町",30/07/08
"宇津峰","史跡","福島県須賀川市・郡山市",31/07/31
"会津松平氏庭園","名勝","福島県会津若松市",32/10/19
"須賀川の牡丹園","名勝","福島県須賀川市",32/10/19
"泉崎横穴","史跡","福島県泉崎村",34/05/01
"霊山","史跡・名勝","福島県霊山町・相馬市",34/05/01
"若松城跡","史跡","福島県会津若松市",34/12/28
"入水鍾乳洞","天然記念物","福島県滝根町",34/12/28
"下鳥渡供養石塔","史跡","福島県福島市",35/06/07
"石母田供養石塔","史跡","福島県国見町",35/06/07
"須釜東福寺舎利石塔","史跡","福島県玉川村",35/06/07
"旧二本松藩戒石銘碑","史跡","福島県二本松市",35/12/24
"猪苗代湖ミズスギゴケ群落","天然記念物","福島県猪苗代町",35/12/24
"須賀川一里塚","史跡","福島県須賀川市",36/09/03
"馬場ザクラ","天然記念物","福島県大玉村",36/12/16
"中釜戸のシダレモミジ","天然記念物","福島県いわき市",37/06/15
"米山寺経塚群","史跡","福島県須賀川市",37/12/21
"鮎滝渡船場跡","史跡","福島県福島市",37/12/21
"諏訪神社の爺スギ媼スギ","天然記念物","福島県小野町",37/12/21
"賢沼ウナギ生息地","天然記念物","福島県いわき市",39/09/07
"柳津ウグイ生息地","天然記念物","福島県柳津町",40/07/12
"高瀬の大木(ケヤキ)","天然記念物","福島県会津若松市",41/01/27
"赤津のカツラ","天然記念物","福島県郡山市",41/01/27
"平伏沼モリアオガエル繁殖地","天然記念物","福島県川内村",41/02/28
"木幡の大スギ","天然記念物","福島県東和町",41/03/27
"見祢の大石","天然記念物","福島県猪苗代町",41/10/03
"杉沢の大スギ","天然記念物","福島県岩代町",43/08/24
"塔の■","天然記念物","福島県下郷町",43/08/24
"照島ウ生息地","天然記念物","福島県いわき市",45/02/22
"桜井古墳","史跡","福島県原町市",56/11/07
"雄国沼湿原植物群落","天然記念物","福島県北塩原村",57/10/30
"中山風穴地特殊植物群落","天然記念物","福島県下郷町",64/06/27
"鹿島神社のペグマタイト岩脈","天然記念物","福島県郡山市",66/06/11
"白河関跡","史跡","福島県白河市",66/09/12
"白水阿彌陀堂境域","史跡","福島県いわき市",66/09/12
"清戸迫横穴","史跡","福島県双葉町",68/05/11
"上人壇廃寺跡","史跡","福島県須賀川市",68/05/28
"旧滝沢本陣","史跡","福島県会津若松市",70/03/16
"中田横穴","史跡","福島県いわき市",70/05/11
"慧日寺跡","史跡","福島県磐梯町",70/12/04
"駒止湿原","天然記念物","福島県田島町・昭和村",70/12/28
"猪苗代湖のハクチョウおよびその渡来地","天然記念物","福島県猪苗代町",72/02/09
"大塚山古墳","史跡","福島県会津若松市",72/05/26
"沢尻の大ヒノキ(サワラ)","天然記念物","福島県いわき市",74/08/10
"羽山横穴","史跡","福島県原町市",74/12/23
"亀ヶ森・鎮守森古墳","史跡","福島県会津坂下町",76/05/06
"真野古墳群","史跡","福島県鹿島町",79/10/24
"阿津賀志山防塁","史跡","福島県国見町",81/03/14
"関和久官衙遺跡","史跡","福島県泉崎村",84/07/21
"会津藩主松平家墓所","史跡","福島県会津若松市",87/05/12
"桑折西山城跡","史跡","福島県桑折町",90/02/19
"大安場古墳","史跡","福島県郡山市",00/09/06
"古屋敷遺跡","史跡","福島県塩川町",00/12/04
"向羽黒山城跡","史跡","福島県会津本郷町",01/08/07
"舟塚山古墳","史跡","茨城県石岡市",21/03/03
"吉田古墳","史跡","茨城県水戸市",22/03/08
"旧弘道館","特別史跡","茨城県水戸市",22/03/08
"常磐公園","史跡・名勝","茨城県水戸市",22/03/08
"常陸国分寺跡","特別史跡","茨城県石岡市",22/10/12
"常陸国分尼寺跡","特別史跡","茨城県石岡市",22/10/12
"いぶき山イブキ樹叢","天然記念物","茨城県十王町",22/10/12
"桜川(サクラ)","名勝","茨城県岩瀬町",24/12/09
"安良川の爺スギ","天然記念物","茨城県高萩市",24/12/09
