"名称","種別","所在地"
"八窓庵（旧舎那院忘筌）","住宅","北海道札幌市中央区"
"北海道庁旧本庁舎","官公庁舎","北海道札幌市中央区"
"北海道大学農学部植物園・博物館","学校建築","北海道札幌市中央区"
"豊平館","文化施設","北海道札幌市中央区"
"旧札幌農学校演武場（時計台）","学校建築","北海道札幌市中央区"
"北海道大学農学部（旧東北帝国大学農科大学）第二農場","学校建築","北海道札幌市北区"
"太刀川家住宅店舗","住居建築","北海道函館市"
"旧函館区公会堂","文化施設","北海道函館市"
"函館ハリストス正教会復活聖堂","宗教建築","北海道函館市"
"旧日本郵船株式会社小樽＊支店","商業・業務","北海道小樽＊市"
"旧旭川偕行社","文化施設","北海道旭川市"
"旧三戸部家住宅","住居建築","北海道伊達市"
"福山城（松前城）本丸御門","城郭","北海道松前町"
"龍雲院","寺院","北海道松前町"
"法源寺山門","寺院","北海道松前町"
"旧中村家住宅","住居建築","北海道江差町"
"旧笹浪家住宅","民家","北海道上ノ国町"
"上國寺本堂","寺院","北海道上ノ国町"
"旧下ヨイチ運上家","近代以前その他","北海道余市町"
"旧花田家番屋","住居建築","北海道小平町"
"正行寺本堂","寺院","北海道厚岸町"
"最勝院五重塔","寺院","青森県弘前市"
"長勝寺三門","寺院","青森県弘前市"
"弘前八幡宮","神社","青森県弘前市"
"弘前城","城郭","青森県弘前市"
"誓願寺山門","寺院","青森県弘前市"
"東照宮本殿","神社","青森県弘前市"
"津軽為信霊屋","神社","青森県弘前市"
"熊野奥照神社本殿","神社","青森県弘前市"
"旧第五十九銀行本店本館","商業・業務","青森県弘前市"
"石場家住宅","民家","青森県弘前市"
"弘前学院外人宣教師館","住居建築","青森県弘前市"
"長勝寺御影堂","寺院","青森県弘前市"
"弘前城三の丸東門","城郭","青森県弘前市"
"革秀寺本堂","寺院","青森県弘前市"
"津軽家霊屋","神社","青森県弘前市"
"長勝寺","寺院","青森県弘前市"
"清水寺観音堂","寺院","青森県八戸市"
"櫛引八幡宮","神社","青森県八戸市"
"高橋家住宅","民家","青森県黒石市"
"旧平山家住宅","民家","青森県五所川原市"
"円覚寺薬師堂内厨子","寺院","青森県深浦町"
"岩木山神社拝殿","寺院","青森県岩木町"
"岩木山神社楼門","神社","青森県岩木町"
"岩木山神社","神社","青森県岩木町"
"旧笠石家住宅","民家","青森県十和田湖町"
"江渡家住宅","民家","青森県五戸町"
"南部利康霊屋","神社","青森県南部町"
"旧中村家住宅（旧所在　岩手県盛岡市南大通）","民家","岩手県盛岡市"
"旧藤野家住宅（旧所在　岩手県江刺市伊手）","民家","岩手県盛岡市"
"岩手大学農学部（旧盛岡高等農林学校）","学校建築","岩手県盛岡市"
"岩手銀行（旧盛岡銀行）旧本店本館","商業・業務","岩手県盛岡市"
"旧佐々木家住宅（旧所在　岩手県下閉伊郡岩泉町）","民家","岩手県盛岡市"
"正法寺","寺院","岩手県水沢市"
"日高神社本殿","神社","岩手県水沢市"
"旧菅野家住宅（旧所在　岩手県北上市口内町）","民家","岩手県北上市"
"多聞院伊澤家住宅","民家","岩手県北上市"
"旧菊池家住宅（旧所在　岩手県遠野市小友町）","民家","岩手県遠野市"
"旧後藤家住宅（旧所在　岩手県江刺市広瀬）","民家","岩手県江刺市"
"旧小原家住宅","民家","岩手県東和町"
"伊藤家住宅","民家","岩手県東和町"
"毘沙門堂","寺院","岩手県東和町"
"中尊寺金色堂","寺院","岩手県平泉町"
"中尊寺経蔵","寺院","岩手県平泉町"
"願成就院宝塔","近代以前その他","岩手県平泉町"
"釈尊院五輪塔","近代以前その他","岩手県平泉町"
"金色堂覆堂","寺院","岩手県平泉町"
"天台寺","寺院","岩手県浄法寺町"
"大崎八幡宮","神社","宮城県仙台市青葉区"
"東照宮","神社","宮城県仙台市青葉区"
"大崎八幡宮長床","神社","宮城県仙台市青葉区"
"陸奥国分寺薬師堂","寺院","宮城県仙台市若林区"
"洞口家住宅","民家","宮城県名取市"
"旧中澤家住宅（旧所在　宮城県名取市愛島塩手）","民家","宮城県名取市"
"高蔵寺阿弥陀堂","寺院","宮城県角田市"
"旧佐藤家住宅","民家","宮城県角田市"
"我妻家住宅","民家","宮城県蔵王町"
"瑞巖＊寺本堂（元方丈）","寺院","宮城県松島町"
"圓通院霊屋","神社","宮城県松島町"
"瑞巖＊寺御成門","寺院","宮城県松島町"
"瑞巖＊寺中門","寺院","宮城県松島町"
"瑞巖＊寺五大堂","寺院","宮城県松島町"
"瑞巖＊寺庫裏及び廊下","寺院","宮城県松島町"
"松本家住宅","民家","宮城県小野田町"
"旧登米高等尋常小学校校舎","学校建築","宮城県登米町"
"旧奈良家住宅","民家","秋田県秋田市"
"嵯峨家住宅","民家","秋田県秋田市"
"旧黒澤家住宅（旧所在　秋田県秋田市中通三丁目）","住宅","秋田県秋田市"
"天徳寺","寺院","秋田県秋田市"
"佐竹家霊屋","神社","秋田県秋田市"
"藤倉水源地水道施設","近代化遺産","秋田県秋田市"
"旧秋田銀行本店本館","商業・業務","秋田県秋田市"
"八幡神社","神社","秋田県大館市"
"赤神神社五社堂（中央堂）内厨子","神社","秋田県男鹿市"
"赤神神社五社堂","神社","秋田県男鹿市"
"古四王神社本殿","神社","秋田県大曲市"
"旧阿仁鉱山外国人官舎","住居建築","秋田県阿仁町"
"大山家住宅","民家","秋田県八竜町"
"神明社観音堂","神社","秋田県飯田川町"
"土田家住宅","民家","秋田県矢島町"
"草薙＊家住宅","民家","秋田県田沢湖町"
"波宇志別神社神楽殿","神社","秋田県大森町"
"三輪神社","神社","秋田県羽後町"
"鈴木家住宅","民家","秋田県羽後町"
"立石寺中堂","寺院","山形県山形市"
"八幡神社鳥居","神社","山形県山形市"
"鳥居","神社","山形県山形市"
"旧済生館本館","その他近代","山形県山形市"
"旧山形師範学校本館","学校建築","山形県山形市"
"旧松應寺観音堂","寺院","山形県山形市"
"立石寺三重小塔","寺院","山形県山形市"
"山形県旧県庁舎及び県会議事堂","官公庁舎","山形県山形市"
"旧米沢高等工業学校本館","学校建築","山形県米沢市"
"水上八幡神社本殿","神社","山形県鶴岡市"
"旧西田川郡役所","官公庁舎","山形県鶴岡市"
"鶴岡カトリック教会天主堂","宗教建築","山形県鶴岡市"
"旧渋谷家住宅（旧所在　山形県東田川郡朝日村）","民家","山形県鶴岡市"
"旧矢作家住宅（旧所在　山形県新庄市萩野）","民家","山形県新庄市"
"八幡神社","神社","山形県新庄市"
"本山慈恩寺本堂","寺院","山形県寒河江市"
"旧尾形家住宅","民家","山形県上山市"
"若松寺観音堂","寺院","山形県天童市"
"佐竹家住宅","民家","山形県朝日町"
"旧有路家住宅","民家","山形県最上町"
"観音寺観音堂","寺院","山形県白鷹町"
"羽黒山正善院黄金堂","寺院","山形県羽黒町"
"羽黒山五重塔","寺院","山形県羽黒町"
"旧広瀬座","文化施設","福島県福島市"
"旧滝沢本陣横山家住宅","民家","福島県会津若松市"
"旧正宗寺三匝堂","寺院","福島県会津若松市"
"旧福島県尋常中学校本館","学校建築","福島県郡山市"
"阿弥陀堂（白水阿弥陀堂）","寺院","福島県いわき市"
"飯野八幡宮本殿","神社","福島県いわき市"
"旧武山家住宅","民家","福島県原町市"
"熊野神社長床","神社","福島県喜多方市"
"勝福寺観音堂","寺院","福島県喜多方市"
"相馬中村神社本殿・幣殿・拝殿","神社","福島県相馬市"
"旧伊達郡役所","官公庁舎","福島県桑折町"
"観音堂","寺院","福島県下郷町"
"成法寺観音堂","寺院","福島県只見町"
"旧五十嵐家住宅","民家","福島県只見町"
"円満寺観音堂","寺院","福島県西会津町"
"旧馬場家住宅（旧所在 福島県南会津郡伊南村）","民家","福島県猪苗代町"
"天鏡閣","住居建築","福島県猪苗代町"
"旧高松宮翁島別邸（福島県迎賓館）","住居建築","福島県猪苗代町"
"恵隆寺観音堂","寺院","福島県会津坂下町"
"旧五十嵐家住宅","民家","福島県会津坂下町"
"勝常寺薬師堂","寺院","福島県湯川村"
"奥之院弁天堂","寺院","福島県柳津町"
"延命寺地蔵堂","寺院","福島県河東町"
"八葉寺阿弥陀堂","寺院","福島県河東町"
"法用寺本堂内厨子及び仏壇","寺院","福島県会津高田町"
"福生寺観音堂","寺院","福島県会津高田町"
"常福院薬師堂","寺院","福島県新鶴村"
"弘安寺旧観音堂厨子","寺院","福島県新鶴村"
"五輪塔","近代以前その他","福島県玉川村"
"中山家住宅","民家","福島県三春町"
"堂山王子神社本殿","寺院","福島県船引町"
"八幡宮本殿","神社","茨城県水戸市"
"旧弘道館","近代以前その他","茨城県水戸市"
"薬王院本堂","寺院","茨城県水戸市"
"佛性寺本堂","寺院","茨城県水戸市"
"旧茨城県立土浦中学校本館","学校建築","茨城県土浦市"
"旧飛田家住宅（旧所在 茨城県久慈郡金砂郷村）","民家","茨城県古河市"
"大宝八幡神社本殿","神社","茨城県下妻市"
"坂野家住宅","民家","茨城県水海道市"
"佐竹寺本堂","寺院","茨城県常陸太田市"
"旧茨城県立太田中学校講堂","学校建築","茨城県常陸太田市"
"楞厳寺山門","寺院","茨城県笠間市"
"笠間稲荷神社本殿","神社","茨城県笠間市"
"竜禅寺三仏堂","寺院","茨城県取手市"
"大塚家住宅","民家","茨城県つくば市"
"鹿島神宮","神社","茨城県鹿嶋市"
"鹿島神宮摂社奥宮本殿","神社","茨城県鹿嶋市"
"鹿島神宮楼門","神社","茨城県鹿嶋市"
"鹿島神宮仮殿","神社","茨城県鹿嶋市"
"中崎家住宅","民家","茨城県内原町"
"塙家住宅","民家","茨城県岩間町"
"小山寺三重塔","寺院","茨城県岩瀬町"
"山本家住宅","民家","茨城県神栖町"
"西蓮寺仁王門","寺院","茨城県玉造町"
"西蓮寺相輪塔＊","近代以前その他","茨城県玉造町"
"平井家住宅","民家","茨城県新利根町"
"椎名家住宅","民家","茨城県霞ヶ浦町"
"善光寺楼門","寺院","茨城県八郷町"
"鑁阿寺本堂","寺院","栃木県足利市"
"鑁阿寺鐘楼","寺院","栃木県足利市"
"鑁阿寺経堂","寺院","栃木県足利市"
"東照宮","神社","栃木県日光市"
"輪王寺大猷＊院霊廟","神社","栃木県日光市"
"二荒山神社","神社","栃木県日光市"
"東照宮旧奥社","神社","栃木県日光市"
"輪王寺","寺院","栃木県日光市"
"二荒山神社","寺院","栃木県日光市"
"輪王寺","寺院","栃木県日光市"
"木幡神社本殿","神社","栃木県矢板市"
"荒井家住宅","民家","栃木県矢板市"
"木幡神社楼門","神社","栃木県矢板市"
"旧青木家那須別邸","住居建築","栃木県黒磯市"
"岡本家住宅","民家","栃木県河内町"
"専修寺","寺院","栃木県二宮町"
"西明寺三重塔","寺院","栃木県益子町"
"円通寺表門","寺院","栃木県益子町"
"綱神社本殿","神社","栃木県益子町"
"地蔵院本堂","寺院","栃木県益子町"
"西明寺楼門","寺院","栃木県益子町"
"綱神社摂社大倉神社本殿","神社","栃木県益子町"
"西明寺本堂内厨子","寺院","栃木県益子町"
"旧羽石家住宅","民家","栃木県茂木町"
"入野家住宅","民家","栃木県市貝町"
"旧下野煉＊化製造会社煉＊瓦窯","その他近代","栃木県野木町"
"村檜神社本殿","神社","栃木県岩舟町"
"三森家住宅","民家","栃木県那須町"
"旧群馬県衛生所","官公庁舎","群馬県桐生市"
"彦部家住宅","民家","群馬県桐生市"
"旧生方家住宅（旧所在　群馬県沼田市上之町）","民家","群馬県沼田市"
"笠卒塔婆","近代以前その他","群馬県渋川市"
"貫前神社","神社","群馬県富岡市"
"旧茂木家住宅（旧所在　群馬県富岡市神農原）","民家","群馬県富岡市"
"阿久沢家住宅","民家","群馬県宮城村"
"塔婆","近代以前その他","群馬県新里村"
"旧黒澤家住宅","民家","群馬県上野村"
"妙義神社","神社","群馬県妙義町"
"碓氷峠鉄道施設","近代化遺産","群馬県松井田町"
"薬師堂","寺院","群馬県中之条町"
"富沢家住宅","民家","群馬県中之条町"
"旧戸部家住宅（旧所在　群馬県利根郡川場村）","民家","群馬県水上町"
"玉村八幡宮本殿","神社","群馬県玉村町"
"東照宮","神社","群馬県尾島町"
"長楽寺宝塔","近代以前その他","群馬県尾島町"
"雷電神社末社八幡宮稲荷神社社殿","神社","群馬県板倉町"
"喜多院","住宅","埼玉県川越市"
"東照宮","神社","埼玉県川越市"
"日枝神社本殿","神社","埼玉県川越市"
"大沢家住宅","民家","埼玉県川越市"
"内田家住宅","民家","埼玉県秩父市"
"旧台徳院霊廟勅額門、丁子門及び御成門","神社","埼玉県所沢市"
"小野家住宅","民家","埼玉県所沢市"
"黄林閣（旧村野家住宅 旧所在 東京都東久留米市柳窪）","民家","埼玉県所沢市"
"福徳寺阿弥陀堂","寺院","埼玉県飯能市"
"光福寺宝篋印塔","近代以前その他","埼玉県東松山市"
"日本煉＊瓦製造株式会社旧煉＊瓦製造施設","近代化遺産","埼玉県深谷市"
"高倉寺観音堂","寺院","埼玉県入間市"
"高麗家住宅","民家","埼玉県日高市"
"出雲伊波比神社本殿","神社","埼玉県毛呂山町"
"吉田家住宅","民家","埼玉県小川町"
"慈光寺開山塔","寺院","埼玉県都幾川村"
"広徳寺大御堂","寺院","埼玉県川島町"
"旧新井家住宅（旧所在　埼玉県秩父郡野上町）","民家","埼玉県長瀞＊町"
"金鑽神社多宝塔","寺院","埼玉県神川町"
"平山家住宅","民家","埼玉県江南町"
"歓喜院聖天堂","神社","埼玉県妻沼町"
"法華経寺五重塔","寺院","千葉県市川市"
"法華経寺法華堂","寺院","千葉県市川市"
"法華経寺四足門","寺院","千葉県市川市"
"法華経寺祖師堂","寺院","千葉県市川市"
"旧花野井家住宅（旧所在　千葉県流山市前ケ崎）","民家","千葉県野田市"
"香取神宮","神社","千葉県佐原市"
"旧御子神家住宅（旧所在　千葉県安房郡丸山町）","民家","千葉県成田市"
"新勝寺","寺院","千葉県成田市"
"旧学習院初等科正堂","学校建築","千葉県成田市"
"飯高寺","寺院","千葉県八日市場市"
"西願寺阿弥陀堂","寺院","千葉県市原市"
"鳳来寺観音堂","寺院","千葉県市原市"
"飯香岡八幡宮本殿","神社","千葉県市原市"
"神野寺表門","寺院","千葉県君津市"
"宝珠院観音堂","寺院","千葉県印西市"
"泉福寺薬師堂","寺院","千葉県栄町"
"滝田家住宅","民家","千葉県白井町"
"栄福寺薬師堂","寺院","千葉県本埜村"
"竜正院仁王門","寺院","千葉県下総町"
"武家屋敷門","住宅","千葉県九十九里町"
"笠森寺観音堂","寺院","千葉県長南町"
"渡辺家住宅","民家","千葉県大多喜町"
"大聖寺不動堂","寺院","千葉県大原町"
"石堂寺","寺院","千葉県丸山町"
"旧尾形家住宅","民家","千葉県丸山町"
"石堂寺薬師堂","寺院","千葉県丸山町"
"旧江戸城田安門","城郭","東京都千代田区"
"旧江戸城外桜田門","城郭","東京都千代田区"
"日本ハリストス正教会教団復活大聖堂（ニコライ堂）","宗教建築","東京都千代田区"
"法務省旧本館","官公庁舎","東京都千代田区"
"明治生命保険相互会社本社本館","商業・業務","東京都千代田区"
"旧江戸城清水門","城郭","東京都千代田区"
"旧近衛師団司令部庁舎","官公庁舎","東京都千代田区"
"日本銀行本店本館","商業・業務","東京都中央区"
"三井本館","商業・業務","東京都中央区"
"日本橋","その他近代","東京都中央区"
"増上寺三解脱門","寺院","東京都港区"
"旧台徳院霊廟惣門","神社","東京都港区"
"慶応義塾三田演説館","学校建築","東京都港区"
"瑞聖寺大雄宝殿","寺院","東京都港区"
"明治学院インブリー館","住居建築","東京都港区"
"有章院（徳川家継）霊廟二天門","神社","東京都港区"
"慶応義塾図書館","学校建築","東京都港区"
"学習院旧正門","学校建築","東京都新宿区"
"護国寺本堂","寺院","東京都文京区"
"旧加賀屋敷御守殿門（赤門）","住宅","東京都文京区"
"根津神社","神社","東京都文京区"
"旧岩崎家住宅","住居建築","東京都文京区"
"護国寺月光殿（旧日光院客殿）","住宅","東京都文京区"
"旧東京医学校本館","学校建築","東京都文京区"
"旧寛永寺五重塔","寺院","東京都台東区"
"東照宮社殿","神社","東京都台東区"
"厳有院霊廟奥院","近代以前その他","東京都台東区"
"厳有院霊廟勅額門及び水盤舎","神社","東京都台東区"
"浅草寺二天門","寺院","東京都台東区"
"浅草神社","神社","東京都台東区"
"旧因州池田屋敷表門","住宅","東京都台東区"
"旧東京音楽学校奏楽堂","学校建築","東京都台東区"
"常憲院霊廟奥院","近代以前その他","東京都台東区"
"常憲院霊廟勅額門及び水盤舎","神社","東京都台東区"
"旧十輪院宝蔵","寺院","東京都台東区"
"寛永寺清水堂","寺院","東京都台東区"
"表慶館","文化施設","東京都台東区"
"寛永寺旧本坊表門（黒門）","寺院","東京都台東区"
"旧弾正橋（八幡橋）","その他近代","東京都江東区"
"明治丸","その他近代","東京都江東区"
"円融寺本堂","寺院","東京都目黒区"
"本門寺五重塔","寺院","東京都大田区"
"大場家住宅","民家","東京都世田谷区"
"妙法寺鉄門","宗教建築","東京都杉並区"
"自由学園明日館","学校建築","東京都豊島区"
"観音寺本堂","寺院","東京都青梅市"
"旧宮崎家住宅（旧所在　東京都青梅市成木）","民家","東京都青梅市"
"観音寺阿弥陀堂","寺院","東京都青梅市"
"観音寺仁王門","寺院","東京都青梅市"
"旧永井家住宅（旧所在　東京都町田市小野路町）","民家","東京都町田市"
"金剛寺不動堂","寺院","東京都日野市"
"金剛寺仁王門","寺院","東京都日野市"
"正福寺地蔵堂","寺院","東京都東村山市"
"小林家住宅","民家","東京都檜原村"
"旧横浜船渠株式会社第二号船渠（ドック）","その他近代","神奈川県横浜市西区"
"旧燈明寺本堂","寺院","神奈川県横浜市中区"
"旧横浜正金銀行本店本館","商業・業務","神奈川県横浜市中区"
"横浜市開港記念会館","文化施設","神奈川県横浜市中区"
"臨春閣","住宅","神奈川県横浜市中区"
"旧内田家住宅（旧所在　東京都渋谷区南平台町）","住居建築","神奈川県横浜市中区"
"月華殿","住宅","神奈川県横浜市中区"
"春草廬","住宅","神奈川県横浜市中区"
"旧天瑞寺寿塔覆堂","寺院","神奈川県横浜市中区"
"聴秋閣","住宅","神奈川県横浜市中区"
"旧東慶寺仏殿","寺院","神奈川県横浜市中区"
"旧燈明寺三重塔","寺院","神奈川県横浜市中区"
"旧矢篦原家住宅（旧所在　岐阜県大野郡荘川村）","民家","神奈川県横浜市中区"
"天授院","寺院","神奈川県横浜市中区"
"関家住宅","民家","神奈川県横浜市港北区"
"旧伊藤家住宅（旧所在　神奈川県川崎市金程）","民家","神奈川県川崎市多摩区"
"旧北村家住宅（旧所在　神奈川県秦野市堀山下）","民家","神奈川県川崎市多摩区"
"旧佐々木家住宅（旧所在　長野県佐久郡八千穂村）","民家","神奈川県川崎市多摩区"
"旧太田家住宅（旧所在　茨城県笠間市片庭）","民家","神奈川県川崎市多摩区"
"旧江向家住宅（旧所在　富山県東砺波郡上平村）","民家","神奈川県川崎市多摩区"
"旧工藤家住宅（旧所在　岩手県紫波郡紫波町）","民家","神奈川県川崎市多摩区"
"旧作田家住宅（旧所在　千葉県山武郡九十九里町）","民家","神奈川県川崎市多摩区"
"光明寺本堂内厨子","寺院","神奈川県平塚市"
"円覚寺舎利殿","寺院","神奈川県鎌倉市"
"鶴岡八幡宮大鳥居（一の鳥居）","神社","神奈川県鎌倉市"
"建長寺仏殿","寺院","神奈川県鎌倉市"
"覚園寺開山塔","近代以前その他","神奈川県鎌倉市"
"極楽寺忍性塔","近代以前その他","神奈川県鎌倉市"
"浄光明寺五輪塔","近代以前その他","神奈川県鎌倉市"
"宝篋印塔","近代以前その他","神奈川県鎌倉市"
"安養院宝篋印塔","近代以前その他","神奈川県鎌倉市"
"旧一条恵観山荘（旧所在　京都府京都市北区西加茂川上町）","住宅","神奈川県鎌倉市"
"旧石井家住宅（旧所在　神奈川県鎌倉市関谷）","民家","神奈川県鎌倉市"
"光明寺本堂","寺院","神奈川県鎌倉市"
"鶴岡八幡宮末社丸山稲荷社本殿","神社","神奈川県鎌倉市"
"建長寺昭堂","寺院","神奈川県鎌倉市"
"覚園寺大燈塔","近代以前その他","神奈川県鎌倉市"
"極楽寺五輪塔","近代以前その他","神奈川県鎌倉市"
"鶴岡八幡宮摂社若宮","神社","神奈川県鎌倉市"
"建長寺唐門","寺院","神奈川県鎌倉市"
"鶴岡八幡宮上宮","神社","神奈川県鎌倉市"
"建長寺大覚禅師塔","近代以前その他","神奈川県鎌倉市"
"五輪塔","近代以前その他","神奈川県逗子市"
"宝城坊旧本堂内厨子","寺院","神奈川県伊勢原市"
"宝城坊本堂","寺院","神奈川県伊勢原市"
"五輪塔","近代以前その他","神奈川県箱根町"
"宝篋印塔","近代以前その他","神奈川県箱根町"
"石井家住宅","民家","神奈川県藤野町"
"新潟県議会旧議事堂","官公庁舎","新潟県新潟市"
"旧新潟税関庁舎","官公庁舎","新潟県新潟市"
"大泉寺観音堂","寺院","新潟県柏崎市"
"多多神社本殿","神社","新潟県柏崎市"
"新発田城","城郭","新潟県新発田市"
"旧新発田藩足軽長屋","民家","新潟県新発田市"
"魚沼神社阿弥陀堂","寺院","新潟県小千谷市"
"若林家住宅","民家","新潟県村上市"
"浄念寺本堂","寺院","新潟県村上市"
"山口家住宅","民家","新潟県糸魚川市"
"浄興寺本堂","寺院","新潟県上越市"
"乙宝寺三重塔","寺院","新潟県中条町"
"種月寺本堂","寺院","新潟県岩室村"
"弥彦神社境内末社十柱神社社殿","神社","新潟県弥彦村"
"旧笹川家住宅","民家","新潟県味方村"
"護徳寺観音堂","寺院","新潟県鹿瀬町"
"五十嵐家住宅","民家","新潟県鹿瀬町"
"平等寺薬師堂","寺院","新潟県三川村"
"旧長谷川家住宅","民家","新潟県越路町"
"旧目黒家住宅","民家","新潟県守門村"
"佐藤家住宅","民家","新潟県守門村"
"星名家住宅","民家","新潟県川西町"
"松苧神社本殿","神社","新潟県松代町"
"白山神社本殿","神社","新潟県能生町"
"渡辺家住宅","民家","新潟県関川村"
"佐藤家住宅","民家","新潟県関川村"
"北條家住宅","民家","新潟県金井町"
"妙宣寺五重塔","寺院","新潟県真野町"
"蓮華峰寺金堂","寺院","新潟県小木町"
"小比叡神社","神社","新潟県小木町"
"蓮華峰寺弘法堂","寺院","新潟県小木町"
"蓮華峰寺骨堂","寺院","新潟県小木町"
"浮田家住宅","民家","富山県富山市"
"旧森家住宅","住居建築","富山県富山市"
"富岩運河水閘施設（中島閘門）","近代化遺産","富山県富山市"
"気多神社本殿","神社","富山県高岡市"
"武田家住宅","民家","富山県高岡市"
"勝興寺","寺院","富山県高岡市"
"菅野家住宅","住居建築","富山県高岡市"
"瑞龍寺","寺院","富山県高岡市"
"瑞龍寺","寺院","富山県高岡市"
"護国八幡宮","神社","富山県小矢部市"
"雄山神社前立社壇本殿","神社","富山県立山町"
"旧嶋家住宅（旧所在　富山県婦負郡細入村）","民家","富山県立山町"
"立山室堂","近代以前その他","富山県立山町"
"白山宮本殿","神社","富山県平村"
"村上家住宅","民家","富山県平村"
"羽馬家住宅","民家","富山県平村"
"岩瀬家住宅","民家","富山県上平村"
"旧富山県立農学校本館（富山県立福野高等学校巌浄閣）","学校建築","富山県福野町"
"佐伯家住宅","民家","富山県福岡町"
"尾崎神社","神社","石川県金沢市"
"金沢城石川門","城郭","石川県金沢市"
"尾山神社神門","宗教建築","石川県金沢市"
"成巽＊閣","住宅","石川県金沢市"
"旧松下家住宅（旧所在　金沢市泉新町）","民家","石川県金沢市"
"大乗寺仏殿","寺院","石川県金沢市"
"旧金澤陸軍兵器支廠（石川県立歴史博物館）","その他近代","石川県金沢市"
"金沢城三十間長屋","城郭","石川県金沢市"
"旧鯖＊波本陣石倉家住宅（旧所在　福井県南条郡南条町）","民家","石川県金沢市"
"旧第四高等中学校本館","学校建築","石川県金沢市"
"那谷寺本堂","寺院","石川県小松市"
"小松天満宮","神社","石川県小松市"
"那谷寺三重塔","寺院","石川県小松市"
"那谷寺護摩堂","寺院","石川県小松市"
"那谷寺鐘楼","寺院","石川県小松市"
"那谷寺書院及び庫裏","寺院","石川県小松市"
"時国家住宅","民家","石川県輪島市"
"黒丸家住宅","民家","石川県珠洲市"
"白山神社本殿","神社","石川県珠洲市"
"江沼神社長流亭","住宅","石川県加賀市"
"薬王院五輪塔","近代以前その他","石川県加賀市"
"気多神社","神社","石川県羽咋市"
"妙成寺本堂","寺院","石川県羽咋市"
"妙成寺祖師堂","寺院","石川県羽咋市"
"妙成寺五重塔","寺院","石川県羽咋市"
"妙成寺二王門","寺院","石川県羽咋市"
"妙成寺書院","住宅","石川県羽咋市"
"妙成寺鐘楼","寺院","石川県羽咋市"
"妙成寺三十番神堂","神社","石川県羽咋市"
"妙成寺三光堂","寺院","石川県羽咋市"
"妙成寺経堂","寺院","石川県羽咋市"
"妙成寺庫裏","寺院","石川県羽咋市"
"喜多家住宅","民家","石川県野々市町"
"旧小倉家住宅","民家","石川県白峰村"
"松尾神社本殿","神社","石川県富来町"
"喜多家住宅","民家","石川県押水町"
"藤津比古神社本殿","神社","石川県中島町"
"座主家住宅","民家","石川県中島町"
"明泉寺五重塔","近代以前その他","石川県穴水町"
"気比神宮大鳥居","神社","福井県敦賀市"
"旧谷口家住宅（旧所在　福井県武生市横市町）","民家","福井県武生市"
"大塩八幡宮拝殿","神社","福井県武生市"
"明通寺本堂","寺院","福井県小浜市"
"妙楽寺本堂","寺院","福井県小浜市"
"神宮寺本堂","寺院","福井県小浜市"
"羽賀寺本堂","寺院","福井県小浜市"
"飯盛寺本堂","寺院","福井県小浜市"
"明通寺三重塔","寺院","福井県小浜市"
"神宮寺仁王門","寺院","福井県小浜市"
"旧橋本家住宅","民家","福井県大野市"
"旧瓜生家住宅","民家","福井県鯖＊江市"
"春日神社本殿","神社","福井県鯖＊江市"
"滝谷寺鎮守堂","神社","福井県三国町"
"丸岡城天守","城郭","福井県丸岡町"
"坪川家住宅","民家","福井県丸岡町"
"大滝神社本殿及び拝殿","神社","福井県今立町"
"須波阿須疑神社本殿","神社","福井県池田町"
"堀口家住宅","民家","福井県池田町"
"大谷寺九重塔","近代以前その他","福井県朝日町"
"相木家住宅","民家","福井県宮崎村"
"中山寺本堂","寺院","福井県高浜町"
"東光寺仏殿","寺院","山梨県甲府市"
"穴切大神社本殿","神社","山梨県甲府市"
"塩沢寺地蔵堂","寺院","山梨県甲府市"
"善光寺本堂","寺院","山梨県甲府市"
"旧睦沢学校校舎","学校建築","山梨県甲府市"
"善光寺山門","寺院","山梨県甲府市"
"北口本宮富士浅間神社東宮本殿","神社","山梨県富士吉田市"
"小佐野家住宅","民家","山梨県富士吉田市"
"北口本宮富士浅間神社本殿","神社","山梨県富士吉田市"
"北口本宮富士浅間神社西宮本殿","神社","山梨県富士吉田市"
"恵林寺四脚門","寺院","山梨県塩山市"
"熊野神社本殿","神社","山梨県塩山市"
"雲峰寺本堂","寺院","山梨県塩山市"
"旧高野家住宅","民家","山梨県塩山市"
"向岳寺中門","寺院","山梨県塩山市"
"熊野神社拝殿","神社","山梨県塩山市"
"雲峰寺書院","住宅","山梨県塩山市"
"雲峰寺庫裏","寺院","山梨県塩山市"
"雲峰寺仁王門","寺院","山梨県塩山市"
"清白寺仏殿","寺院","山梨県山梨市"
"窪八幡神社本殿","神社","山梨県山梨市"
"天神社本殿","神社","山梨県山梨市"
"窪八幡神社拝殿（庁屋）","神社","山梨県山梨市"
"窪八幡神社摂社若宮八幡神社本殿","神社","山梨県山梨市"
"窪八幡神社摂社若宮八幡神社拝殿","神社","山梨県山梨市"
"窪八幡神社末社武内大神本殿","神社","山梨県山梨市"
"窪八幡神社末社高良神社本殿","神社","山梨県山梨市"
"窪八幡神社末社比咩三神社本殿","神社","山梨県山梨市"
"窪八幡神社神門","神社","山梨県山梨市"
"窪八幡神社鳥居","神社","山梨県山梨市"
"星野家住宅","民家","山梨県大月市"
"武田八幡神社本殿","神社","山梨県韮崎市"
